id,label,scam_type,message
1,scam,wire_transfer,Crypto payment accepted.
2,scam,wire_transfer,Wire transfer preferred.
3,scam,deposit_request,Pay holding fee immediately.
4,scam,gift_card_payment,Steam gift card for deposit.
5,scam,no_viewing,"Trust the photos, no tour required."
6,scam,deposit_request,Please send the deposit today to secure the apartment.
7,scam,broken_english,Good chance for you.
8,scam,broken_english,You trust me.
9,scam,deposit_request,Pay holding fee immediately.
10,scam,deposit_request,Please send the deposit today to secure the apartment.
11,scam,unrealistic_price,Very low price if you act today.
12,scam,urgency_pressure,This will be gone today.
13,scam,urgency_pressure,This will be gone today.
14,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
15,scam,no_viewing,"No need to see the place, pictures are enough."
16,scam,personal_info_harvest,Provide passport and banking info.
17,scam,personal_info_harvest,Need your full details before viewing.
18,scam,gift_card_payment,Send prepaid card numbers.
19,scam,fake_company,Third-party escrow company involved.
20,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
21,scam,urgency_pressure,Last chance to secure.
22,scam,broken_english,You trust me.
23,scam,urgency_pressure,First come first serve.
24,scam,fake_company,Our company handles everything remotely.
25,scam,no_viewing,"Viewing is not necessary, unit is ready."
26,scam,no_viewing,"No need to see the place, pictures are enough."
27,scam,broken_english,I owner of apartment and want rent fast.
28,scam,broken_english,You trust me.
29,scam,personal_info_harvest,Send copy of ID and SIN.
30,scam,urgency_pressure,First come first serve.
31,scam,personal_info_harvest,Send photo of your driver license.
32,scam,fake_company,We are certified rental agents.
33,scam,deposit_request,Deposit required before any viewing.
34,scam,gift_card_payment,Steam gift card for deposit.
35,scam,gift_card_payment,Payment via gift cards only.
36,scam,broken_english,You trust me.
37,scam,unrealistic_price,Cheap rent because I want quick tenant.
38,scam,personal_info_harvest,Submit personal info now.
39,scam,gift_card_payment,Steam gift card for deposit.
40,scam,broken_english,I owner of apartment and want rent fast.
41,scam,personal_info_harvest,Need your full details before viewing.
42,scam,no_viewing,You can move in without visiting.
43,scam,no_viewing,"Viewing is not necessary, unit is ready."
44,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
45,scam,urgency_pressure,First come first serve.
46,scam,urgency_pressure,Last chance to secure.
47,scam,unrealistic_price,Below market price for fast deal.
48,scam,deposit_request,Unit will be held only after deposit is received.
49,scam,broken_english,I owner of apartment and want rent fast.
50,scam,personal_info_harvest,Provide passport and banking info.
51,scam,fake_company,Third-party escrow company involved.
52,scam,urgency_pressure,"Many people interested, act fast."
53,scam,wire_transfer,International transfer accepted.
54,scam,broken_english,I owner of apartment and want rent fast.
55,scam,gift_card_payment,Payment via gift cards only.
56,scam,deposit_request,Send first and last month now to lock it.
57,scam,wire_transfer,Crypto payment accepted.
58,scam,gift_card_payment,Send prepaid card numbers.
59,scam,urgency_pressure,Last chance to secure.
60,scam,fake_company,Our company handles everything remotely.
61,scam,unrealistic_price,Cheap rent because I want quick tenant.
62,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
63,scam,fake_company,Third-party escrow company involved.
64,scam,wire_transfer,Wire transfer preferred.
65,scam,personal_info_harvest,Send copy of ID and SIN.
66,scam,unrealistic_price,Very low price if you act today.
67,scam,fake_company,We are certified rental agents.
68,scam,urgency_pressure,Only serious renters reply.
69,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
70,scam,no_viewing,Viewing is not possible at this time.
71,scam,personal_info_harvest,Submit personal info now.
72,scam,gift_card_payment,Send prepaid card numbers.
73,scam,wire_transfer,Wire transfer preferred.
74,scam,personal_info_harvest,Need your full details before viewing.
75,scam,no_viewing,"Trust the photos, no tour required."
76,scam,fake_company,Corporate leasing office.
77,scam,unrealistic_price,Cheap rent because I want quick tenant.
78,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
79,scam,no_viewing,"Trust the photos, no tour required."
80,scam,fake_company,Our company handles everything remotely.
81,scam,broken_english,You trust me.
82,scam,gift_card_payment,Send prepaid card numbers.
83,scam,fake_company,Our company handles everything remotely.
84,scam,fake_company,Corporate leasing office.
85,scam,personal_info_harvest,Need your full details before viewing.
86,scam,no_viewing,"Trust the photos, no tour required."
87,scam,personal_info_harvest,Send photo of your driver license.
88,scam,out_of_country_landlord,I moved overseas but the apartment is available.
89,scam,no_viewing,"No need to see the place, pictures are enough."
90,scam,wire_transfer,Send money by MoneyGram.
91,scam,personal_info_harvest,Provide passport and banking info.
92,scam,gift_card_payment,Payment via gift cards only.
93,scam,wire_transfer,Send money by MoneyGram.
