listing_id,title,description,price,bedrooms,bathrooms,property_type,address,city,latitude,longitude,posting_date,furnished,lease_term,deposit_amount,payment_method_text,contact_type
1,Spacious Basement Unit,Near subway and shopping.,2403,1,1,apartment,990 Main St,Toronto,43.685737,-79.328917,2025-09-21,1,1 year,500,cash,owner
2,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",3181,4,3,apartment,192 Main St,Toronto,43.623089,-79.587035,2026-01-01,1,6 months,500,wire,agent
3,Beautiful Apartment for Rent,Bright unit close to transit.,1122,2,1,house,921 Main St,Toronto,43.744729,-79.468915,2025-10-30,1,1 year,1500,e-transfer,agent
4,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1536,2,3,basement,839 Main St,Toronto,43.668286,-79.353158,2026-01-29,0,1 year,0,cash,owner
5,Spacious Basement Unit,Ideal for students and professionals.,3251,3,1,basement,899 Main St,Toronto,43.692135,-79.535696,2026-01-25,1,month-to-month,1000,cash,owner
6,Downtown Condo,Near subway and shopping.,2916,0,1,house,664 Main St,Toronto,43.790711,-79.435914,2025-08-17,1,6 months,1500,wire,agent
7,Affordable Room,Near subway and shopping.,1365,0,2,house,247 Main St,Toronto,43.652279,-79.533027,2025-08-29,1,6 months,0,e-transfer,agent
8,Downtown Condo,Near subway and shopping.,2392,4,2,apartment,889 Main St,Toronto,43.712908,-79.416133,2025-12-19,0,1 year,1500,e-transfer,agent
9,Beautiful Apartment for Rent,Ideal for students and professionals.,2668,2,1,basement,512 Main St,Toronto,43.625382,-79.271975,2026-01-03,1,month-to-month,0,cash,agent
10,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",3230,0,2,basement,141 Main St,Toronto,43.678497,-79.32114,2025-11-04,0,month-to-month,1000,gift card,owner
11,Affordable Room,Bright unit close to transit.,1981,1,3,house,393 Main St,Toronto,43.607347,-79.294865,2026-01-20,0,1 year,1000,wire,agent
12,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",3111,1,1,apartment,275 Main St,Toronto,43.68594,-79.359503,2026-01-27,0,month-to-month,0,wire,agent
13,Beautiful Apartment for Rent,Bright unit close to transit.,1069,0,3,apartment,958 Main St,Toronto,43.741285,-79.532431,2026-01-07,0,6 months,1000,cash,owner
14,Beautiful Apartment for Rent,Near subway and shopping.,2338,2,2,house,599 Main St,Toronto,43.633415,-79.599446,2025-12-02,1,6 months,0,gift card,agent
15,Downtown Condo,Bright unit close to transit.,931,1,3,house,29 Main St,Toronto,43.611463,-79.524135,2026-01-16,1,6 months,1500,cash,owner
16,Affordable Room,"Recently renovated, quiet neighborhood.",2235,4,2,apartment,898 Main St,Toronto,43.732142,-79.264483,2025-11-20,0,6 months,0,wire,owner
17,Downtown Condo,Bright unit close to transit.,2412,0,3,basement,56 Main St,Toronto,43.661224,-79.528743,2025-08-26,0,6 months,0,cash,owner
18,Affordable Room,"Recently renovated, quiet neighborhood.",1124,1,2,house,411 Main St,Toronto,43.672653,-79.423224,2025-09-19,0,month-to-month,0,cash,owner
19,Spacious Basement Unit,Ideal for students and professionals.,1611,2,2,house,976 Main St,Toronto,43.715151,-79.402621,2025-11-28,0,month-to-month,1500,wire,agent
20,Downtown Condo,Bright unit close to transit.,1309,0,2,apartment,231 Main St,Toronto,43.729215,-79.246466,2025-10-31,1,1 year,1500,cash,agent
21,Spacious Basement Unit,Bright unit close to transit.,2094,1,3,house,680 Main St,Toronto,43.756249,-79.451878,2025-09-29,0,6 months,500,e-transfer,owner
22,Downtown Condo,Near subway and shopping.,2951,1,1,house,389 Main St,Toronto,43.720713,-79.561226,2025-12-01,1,6 months,1500,wire,owner
23,Downtown Condo,Bright unit close to transit.,1390,2,1,house,408 Main St,Toronto,43.63413,-79.248906,2026-01-24,1,1 year,1500,e-transfer,owner
24,Beautiful Apartment for Rent,Ideal for students and professionals.,1815,2,2,apartment,503 Main St,Toronto,43.743767,-79.314215,2025-09-25,0,6 months,0,wire,agent
25,Beautiful Apartment for Rent,Ideal for students and professionals.,1352,1,2,basement,812 Main St,Toronto,43.668336,-79.583919,2025-10-30,1,month-to-month,1000,wire,owner
26,Spacious Basement Unit,Bright unit close to transit.,1487,3,1,apartment,792 Main St,Toronto,43.611294,-79.388607,2025-11-24,1,1 year,1000,e-transfer,owner
27,Affordable Room,Ideal for students and professionals.,881,4,3,basement,272 Main St,Toronto,43.657219,-79.500975,2025-12-27,1,6 months,1500,e-transfer,agent
28,Downtown Condo,"Recently renovated, quiet neighborhood.",3301,2,2,house,629 Main St,Toronto,43.680318,-79.42023,2025-10-12,1,6 months,1500,e-transfer,agent
29,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",2900,3,2,house,115 Main St,Toronto,43.730652,-79.20206,2025-11-24,1,6 months,1000,e-transfer,agent
30,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",2422,2,3,apartment,179 Main St,Toronto,43.731085,-79.32731,2025-09-23,0,1 year,1500,gift card,owner
31,Downtown Condo,Ideal for students and professionals.,849,1,3,apartment,972 Main St,Toronto,43.746939,-79.29862,2025-09-09,1,6 months,1000,wire,agent
32,Spacious Basement Unit,Near subway and shopping.,2227,4,2,house,79 Main St,Toronto,43.726988,-79.562954,2025-08-31,0,6 months,1000,wire,agent
33,Affordable Room,Bright unit close to transit.,1730,0,2,basement,34 Main St,Toronto,43.791207,-79.219979,2026-01-22,1,6 months,0,wire,owner
34,Downtown Condo,Bright unit close to transit.,1308,2,3,basement,20 Main St,Toronto,43.684625,-79.216181,2025-12-31,1,1 year,0,cash,agent
35,Affordable Room,Near subway and shopping.,1568,4,2,basement,319 Main St,Toronto,43.7975,-79.438718,2025-11-24,0,month-to-month,1000,gift card,owner
36,Downtown Condo,Ideal for students and professionals.,938,0,3,house,319 Main St,Toronto,43.687034,-79.459476,2025-12-19,1,month-to-month,1000,cash,owner
37,Affordable Room,Bright unit close to transit.,2449,2,2,house,415 Main St,Toronto,43.738781,-79.499986,2025-10-30,0,month-to-month,1500,cash,agent
38,Affordable Room,Ideal for students and professionals.,2180,2,3,apartment,739 Main St,Toronto,43.70035,-79.56517,2025-08-19,0,6 months,1000,wire,owner
39,Downtown Condo,Ideal for students and professionals.,3205,2,2,apartment,589 Main St,Toronto,43.780261,-79.451524,2026-01-06,1,month-to-month,0,wire,owner
40,Spacious Basement Unit,Near subway and shopping.,2392,1,2,apartment,756 Main St,Toronto,43.754231,-79.227115,2026-01-09,0,6 months,1500,wire,owner
41,Beautiful Apartment for Rent,Ideal for students and professionals.,955,1,1,house,2 Main St,Toronto,43.651441,-79.359535,2025-11-18,0,1 year,0,e-transfer,owner
42,Spacious Basement Unit,Bright unit close to transit.,3293,0,3,apartment,345 Main St,Toronto,43.662601,-79.521721,2025-12-01,1,1 year,0,wire,agent
43,Beautiful Apartment for Rent,Ideal for students and professionals.,1550,2,3,apartment,981 Main St,Toronto,43.700207,-79.433794,2025-11-05,0,1 year,1000,wire,owner
44,Beautiful Apartment for Rent,Bright unit close to transit.,1802,2,2,house,11 Main St,Toronto,43.759595,-79.587996,2025-12-25,0,1 year,1500,cash,agent
45,Beautiful Apartment for Rent,Bright unit close to transit.,1047,0,1,basement,563 Main St,Toronto,43.758273,-79.545497,2025-10-11,1,1 year,500,cash,agent
46,Spacious Basement Unit,Bright unit close to transit.,2101,3,2,house,532 Main St,Toronto,43.690245,-79.372363,2026-01-25,1,6 months,500,gift card,owner
47,Affordable Room,Near subway and shopping.,2701,0,3,apartment,541 Main St,Toronto,43.67642,-79.231061,2026-01-20,1,6 months,0,gift card,agent
48,Downtown Condo,Ideal for students and professionals.,2566,4,2,basement,622 Main St,Toronto,43.746511,-79.400534,2026-01-25,1,1 year,1500,cash,agent
49,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",1053,4,1,house,372 Main St,Toronto,43.644485,-79.299535,2025-08-04,0,month-to-month,1500,wire,agent
50,Affordable Room,Bright unit close to transit.,2896,0,3,basement,564 Main St,Toronto,43.795718,-79.514281,2025-10-13,1,1 year,1500,e-transfer,owner
51,Affordable Room,Near subway and shopping.,1279,0,2,basement,484 Main St,Toronto,43.659692,-79.403372,2025-08-20,1,6 months,1000,cash,owner
52,Spacious Basement Unit,Near subway and shopping.,2016,0,2,basement,475 Main St,Toronto,43.679057,-79.422398,2025-09-12,0,1 year,1500,wire,agent
53,Downtown Condo,Ideal for students and professionals.,2796,2,1,apartment,394 Main St,Toronto,43.680261,-79.322742,2025-10-09,0,1 year,500,gift card,agent
54,Spacious Basement Unit,Near subway and shopping.,985,4,1,apartment,821 Main St,Toronto,43.662473,-79.355745,2025-12-18,0,month-to-month,500,gift card,owner
55,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",2021,1,2,apartment,50 Main St,Toronto,43.651075,-79.385692,2026-01-19,0,1 year,1000,gift card,owner
56,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1269,1,2,house,677 Main St,Toronto,43.677626,-79.313753,2025-09-21,1,1 year,1500,e-transfer,agent
57,Beautiful Apartment for Rent,Near subway and shopping.,3138,0,1,apartment,260 Main St,Toronto,43.794622,-79.392956,2025-09-08,0,month-to-month,500,gift card,agent
58,Beautiful Apartment for Rent,Near subway and shopping.,2860,0,1,house,703 Main St,Toronto,43.724088,-79.572664,2025-12-18,0,6 months,1500,wire,agent
59,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",2678,3,3,house,703 Main St,Toronto,43.651996,-79.35131,2025-08-30,0,1 year,1500,cash,agent
60,Downtown Condo,"Recently renovated, quiet neighborhood.",923,2,1,house,909 Main St,Toronto,43.614782,-79.259329,2025-09-05,1,6 months,1000,gift card,agent
61,Downtown Condo,Bright unit close to transit.,1540,3,1,house,271 Main St,Toronto,43.666646,-79.249355,2025-08-28,0,month-to-month,1000,e-transfer,owner
62,Downtown Condo,Ideal for students and professionals.,1227,4,3,apartment,495 Main St,Toronto,43.637472,-79.233903,2025-10-06,0,1 year,1500,e-transfer,owner
63,Beautiful Apartment for Rent,Near subway and shopping.,1786,1,2,house,115 Main St,Toronto,43.632278,-79.312841,2025-09-01,0,month-to-month,0,cash,owner
64,Affordable Room,Ideal for students and professionals.,3171,3,1,house,29 Main St,Toronto,43.776403,-79.39834,2025-10-08,1,month-to-month,0,gift card,owner
65,Affordable Room,"Recently renovated, quiet neighborhood.",1783,2,1,basement,942 Main St,Toronto,43.627996,-79.262891,2025-09-30,0,1 year,1500,e-transfer,agent
66,Beautiful Apartment for Rent,Near subway and shopping.,1393,0,2,basement,574 Main St,Toronto,43.792669,-79.497456,2025-10-20,1,month-to-month,1000,wire,owner
67,Spacious Basement Unit,Bright unit close to transit.,1812,2,2,apartment,51 Main St,Toronto,43.747587,-79.331426,2026-01-10,1,month-to-month,500,e-transfer,agent
68,Spacious Basement Unit,Ideal for students and professionals.,1508,1,2,house,908 Main St,Toronto,43.776944,-79.396277,2025-09-11,1,1 year,1000,cash,owner
69,Downtown Condo,"Recently renovated, quiet neighborhood.",1979,4,3,basement,645 Main St,Toronto,43.663606,-79.435862,2025-11-24,0,1 year,1000,gift card,agent
70,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",1678,2,2,basement,249 Main St,Toronto,43.622667,-79.524371,2025-09-02,0,1 year,0,gift card,agent
71,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",892,1,3,basement,11 Main St,Toronto,43.665854,-79.276349,2025-08-15,0,6 months,1000,gift card,agent
72,Beautiful Apartment for Rent,Bright unit close to transit.,2356,4,1,house,742 Main St,Toronto,43.791272,-79.538737,2025-11-22,0,1 year,1000,cash,agent
73,Affordable Room,Bright unit close to transit.,2856,1,2,apartment,147 Main St,Toronto,43.758676,-79.335952,2025-09-24,0,month-to-month,1000,gift card,agent
74,Affordable Room,"Recently renovated, quiet neighborhood.",1786,0,1,basement,892 Main St,Toronto,43.791347,-79.457881,2025-12-18,1,6 months,1000,e-transfer,agent
75,Affordable Room,Near subway and shopping.,3186,2,2,apartment,946 Main St,Toronto,43.702503,-79.340745,2025-09-05,0,month-to-month,0,wire,owner
76,Affordable Room,Near subway and shopping.,2833,4,1,basement,745 Main St,Toronto,43.688891,-79.328974,2025-12-09,0,1 year,0,wire,agent
77,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1995,4,1,apartment,818 Main St,Toronto,43.69954,-79.530234,2025-10-02,1,1 year,1500,e-transfer,agent
78,Beautiful Apartment for Rent,Bright unit close to transit.,2389,3,3,basement,61 Main St,Toronto,43.777954,-79.345874,2025-09-14,0,1 year,0,wire,agent
79,Affordable Room,Bright unit close to transit.,1211,0,3,apartment,327 Main St,Toronto,43.655125,-79.454614,2025-08-24,0,6 months,1500,e-transfer,owner
80,Beautiful Apartment for Rent,Ideal for students and professionals.,1226,4,2,apartment,883 Main St,Toronto,43.743977,-79.316295,2025-08-25,0,1 year,1500,cash,owner
81,Downtown Condo,"Recently renovated, quiet neighborhood.",3314,3,1,apartment,706 Main St,Toronto,43.67624,-79.501481,2025-12-09,1,month-to-month,0,gift card,owner
