id,label,message
1,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
2,scam,Great price for downtown Toronto condo. Send payment to hold.
3,scam,Unit is available immediately. Deposit required before viewing.
4,scam,No viewing needed. First month and deposit required now.
5,scam,Kindly provide your full name and send payment today.
6,scam,No viewing needed. First month and deposit required now.
7,scam,Great price for downtown Toronto condo. Send payment to hold.
8,scam,Many people interested. First person to send deposit gets it.
9,scam,No viewing needed. First month and deposit required now.
10,scam,Kindly provide your full name and send payment today.
11,scam,I am currently out of the country. You can reserve the unit by e-transfer.
12,scam,Great price for downtown Toronto condo. Send payment to hold.
13,scam,I am currently out of the country. You can reserve the unit by e-transfer.
14,scam,Owner is traveling. Keys will be mailed after deposit.
15,scam,Owner is traveling. Keys will be mailed after deposit.
16,scam,Many people interested. First person to send deposit gets it.
17,scam,I am currently out of the country. You can reserve the unit by e-transfer.
18,scam,No credit check. Just send deposit and move in.
19,scam,Great price for downtown Toronto condo. Send payment to hold.
20,scam,Unit is available immediately. Deposit required before viewing.
21,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
22,scam,Unit is available immediately. Deposit required before viewing.
23,scam,No credit check. Just send deposit and move in.
24,scam,No credit check. Just send deposit and move in.
25,scam,Please reply with your email so I can send payment instructions.
26,scam,Great price for downtown Toronto condo. Send payment to hold.
27,scam,I am currently out of the country. You can reserve the unit by e-transfer.
28,scam,Many people interested. First person to send deposit gets it.
29,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
30,scam,Owner is traveling. Keys will be mailed after deposit.
31,scam,Great price for downtown Toronto condo. Send payment to hold.
32,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
33,scam,Many people interested. First person to send deposit gets it.
34,scam,Great price for downtown Toronto condo. Send payment to hold.
35,scam,Owner is traveling. Keys will be mailed after deposit.
36,scam,Unit is available immediately. Deposit required before viewing.
37,scam,No credit check. Just send deposit and move in.
38,scam,No viewing needed. First month and deposit required now.
39,scam,I am currently out of the country. You can reserve the unit by e-transfer.
40,scam,No viewing needed. First month and deposit required now.
41,scam,Unit is available immediately. Deposit required before viewing.
42,scam,No viewing needed. First month and deposit required now.
43,scam,Owner is traveling. Keys will be mailed after deposit.
44,scam,No credit check. Just send deposit and move in.
45,scam,Great price for downtown Toronto condo. Send payment to hold.
46,scam,No credit check. Just send deposit and move in.
47,scam,Unit is available immediately. Deposit required before viewing.
48,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
49,scam,No viewing needed. First month and deposit required now.
50,scam,Please reply with your email so I can send payment instructions.
51,scam,I am currently out of the country. You can reserve the unit by e-transfer.
52,scam,No credit check. Just send deposit and move in.
53,scam,I am currently out of the country. You can reserve the unit by e-transfer.
54,scam,Unit is available immediately. Deposit required before viewing.
55,scam,Great price for downtown Toronto condo. Send payment to hold.
56,scam,Many people interested. First person to send deposit gets it.
57,scam,Kindly provide your full name and send payment today.
58,scam,Please reply with your email so I can send payment instructions.
59,scam,I am currently out of the country. You can reserve the unit by e-transfer.
60,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
61,scam,Owner is traveling. Keys will be mailed after deposit.
62,scam,I am currently out of the country. You can reserve the unit by e-transfer.
63,scam,Kindly provide your full name and send payment today.
64,scam,Owner is traveling. Keys will be mailed after deposit.
65,scam,No credit check. Just send deposit and move in.
66,scam,Please reply with your email so I can send payment instructions.
67,scam,No viewing needed. First month and deposit required now.
68,scam,No viewing needed. First month and deposit required now.
69,scam,Unit is available immediately. Deposit required before viewing.
70,scam,Kindly provide your full name and send payment today.
71,scam,Owner is traveling. Keys will be mailed after deposit.
72,scam,No credit check. Just send deposit and move in.
73,scam,No viewing needed. First month and deposit required now.
74,scam,Kindly provide your full name and send payment today.
75,scam,No credit check. Just send deposit and move in.
76,scam,Many people interested. First person to send deposit gets it.
77,scam,Kindly provide your full name and send payment today.
78,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
79,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
80,scam,Please reply with your email so I can send payment instructions.
81,scam,Kindly provide your full name and send payment today.
82,scam,I am currently out of the country. You can reserve the unit by e-transfer.
83,scam,No viewing needed. First month and deposit required now.
84,scam,Owner is traveling. Keys will be mailed after deposit.
85,scam,No credit check. Just send deposit and move in.
86,scam,Kindly provide your full name and send payment today.
87,scam,No credit check. Just send deposit and move in.
88,scam,Please reply with your email so I can send payment instructions.
89,scam,Many people interested. First person to send deposit gets it.
90,scam,Kindly provide your full name and send payment today.
91,scam,Many people interested. First person to send deposit gets it.
92,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
93,scam,No credit check. Just send deposit and move in.
94,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
95,scam,I am currently out of the country. You can reserve the unit by e-transfer.
96,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
97,scam,Unit is available immediately. Deposit required before viewing.
98,scam,Please reply with your email so I can send payment instructions.
99,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
100,scam,Owner is traveling. Keys will be mailed after deposit.
101,scam,Please reply with your email so I can send payment instructions.
102,scam,Owner is traveling. Keys will be mailed after deposit.
103,scam,Please reply with your email so I can send payment instructions.
104,scam,Kindly provide your full name and send payment today.
105,scam,Please reply with your email so I can send payment instructions.
106,scam,Unit is available immediately. Deposit required before viewing.
107,scam,Please reply with your email so I can send payment instructions.
108,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
109,scam,Please reply with your email so I can send payment instructions.
110,scam,Unit is available immediately. Deposit required before viewing.
111,scam,Great price for downtown Toronto condo. Send payment to hold.
112,scam,No viewing needed. First month and deposit required now.
113,scam,No viewing needed. First month and deposit required now.
114,scam,Great price for downtown Toronto condo. Send payment to hold.
115,scam,No viewing needed. First month and deposit required now.
116,scam,Many people interested. First person to send deposit gets it.
117,scam,Please reply with your email so I can send payment instructions.
118,scam,Please reply with your email so I can send payment instructions.
119,scam,I am currently out of the country. You can reserve the unit by e-transfer.
120,scam,I am currently out of the country. You can reserve the unit by e-transfer.
121,scam,Owner is traveling. Keys will be mailed after deposit.
122,scam,Great price for downtown Toronto condo. Send payment to hold.
123,scam,No credit check. Just send deposit and move in.
124,scam,No viewing needed. First month and deposit required now.
125,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
126,scam,Please reply with your email so I can send payment instructions.
127,scam,Many people interested. First person to send deposit gets it.
128,scam,Great price for downtown Toronto condo. Send payment to hold.
129,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
130,scam,Kindly provide your full name and send payment today.
131,scam,Great price for downtown Toronto condo. Send payment to hold.
132,scam,I am currently out of the country. You can reserve the unit by e-transfer.
133,scam,Many people interested. First person to send deposit gets it.
134,scam,Many people interested. First person to send deposit gets it.
135,scam,Many people interested. First person to send deposit gets it.
136,scam,No credit check. Just send deposit and move in.
137,scam,No credit check. Just send deposit and move in.
138,scam,Unit is available immediately. Deposit required before viewing.
139,scam,No credit check. Just send deposit and move in.
140,scam,Please reply with your email so I can send payment instructions.
141,scam,Please reply with your email so I can send payment instructions.
142,scam,Please reply with your email so I can send payment instructions.
143,scam,No credit check. Just send deposit and move in.
144,scam,Owner is traveling. Keys will be mailed after deposit.
145,scam,Many people interested. First person to send deposit gets it.
146,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
147,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
148,scam,No credit check. Just send deposit and move in.
149,scam,Kindly provide your full name and send payment today.
150,scam,Please reply with your email so I can send payment instructions.
151,scam,No credit check. Just send deposit and move in.
152,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
153,scam,Owner is traveling. Keys will be mailed after deposit.
154,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
155,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
156,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
157,scam,I am currently out of the country. You can reserve the unit by e-transfer.
158,scam,Please reply with your email so I can send payment instructions.
159,scam,I am currently out of the country. You can reserve the unit by e-transfer.
160,scam,Great price for downtown Toronto condo. Send payment to hold.
161,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
162,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
163,scam,No viewing needed. First month and deposit required now.
164,scam,No viewing needed. First month and deposit required now.
165,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
166,scam,I am currently out of the country. You can reserve the unit by e-transfer.
167,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
168,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
169,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
170,scam,I am currently out of the country. You can reserve the unit by e-transfer.
171,scam,I am currently out of the country. You can reserve the unit by e-transfer.
172,scam,Many people interested. First person to send deposit gets it.
173,scam,Owner is traveling. Keys will be mailed after deposit.
174,scam,Great price for downtown Toronto condo. Send payment to hold.
175,scam,Owner is traveling. Keys will be mailed after deposit.
176,scam,Please reply with your email so I can send payment instructions.
177,scam,Kindly provide your full name and send payment today.
178,scam,No credit check. Just send deposit and move in.
179,scam,Please reply with your email so I can send payment instructions.
180,scam,Great price for downtown Toronto condo. Send payment to hold.
181,scam,Owner is traveling. Keys will be mailed after deposit.
182,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
183,scam,Kindly provide your full name and send payment today.
184,scam,No credit check. Just send deposit and move in.
185,scam,I am currently out of the country. You can reserve the unit by e-transfer.
186,scam,No credit check. Just send deposit and move in.
187,scam,No credit check. Just send deposit and move in.
188,scam,Great price for downtown Toronto condo. Send payment to hold.
189,scam,Many people interested. First person to send deposit gets it.
190,scam,Many people interested. First person to send deposit gets it.
191,scam,Owner is traveling. Keys will be mailed after deposit.
192,scam,Kindly provide your full name and send payment today.
193,scam,Unit is available immediately. Deposit required before viewing.
194,scam,I am currently out of the country. You can reserve the unit by e-transfer.
195,scam,Unit is available immediately. Deposit required before viewing.
196,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
197,scam,No viewing needed. First month and deposit required now.
198,scam,No viewing needed. First month and deposit required now.
199,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
200,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
201,scam,Unit is available immediately. Deposit required before viewing.
202,scam,Great price for downtown Toronto condo. Send payment to hold.
203,scam,Kindly provide your full name and send payment today.
204,scam,No viewing needed. First month and deposit required now.
205,scam,Please reply with your email so I can send payment instructions.
206,scam,Kindly provide your full name and send payment today.
207,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
208,scam,No credit check. Just send deposit and move in.
209,scam,Many people interested. First person to send deposit gets it.
210,scam,Many people interested. First person to send deposit gets it.
211,scam,Great price for downtown Toronto condo. Send payment to hold.
212,scam,No viewing needed. First month and deposit required now.
213,scam,Many people interested. First person to send deposit gets it.
214,scam,No viewing needed. First month and deposit required now.
215,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
216,scam,No viewing needed. First month and deposit required now.
217,scam,Many people interested. First person to send deposit gets it.
218,scam,Please reply with your email so I can send payment instructions.
219,scam,Owner is traveling. Keys will be mailed after deposit.
220,scam,Please reply with your email so I can send payment instructions.
221,scam,Please reply with your email so I can send payment instructions.
222,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
223,scam,Kindly provide your full name and send payment today.
224,scam,No viewing needed. First month and deposit required now.
225,scam,No viewing needed. First month and deposit required now.
226,scam,I am currently out of the country. You can reserve the unit by e-transfer.
227,scam,Please reply with your email so I can send payment instructions.
228,scam,Owner is traveling. Keys will be mailed after deposit.
229,scam,No credit check. Just send deposit and move in.
230,scam,Please reply with your email so I can send payment instructions.
231,scam,Please reply with your email so I can send payment instructions.
232,scam,No viewing needed. First month and deposit required now.
233,scam,No credit check. Just send deposit and move in.
234,scam,Unit is available immediately. Deposit required before viewing.
235,scam,No viewing needed. First month and deposit required now.
236,scam,No credit check. Just send deposit and move in.
237,scam,Owner is traveling. Keys will be mailed after deposit.
238,scam,Unit is available immediately. Deposit required before viewing.
239,scam,I am currently out of the country. You can reserve the unit by e-transfer.
240,scam,Many people interested. First person to send deposit gets it.
241,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
242,scam,Owner is traveling. Keys will be mailed after deposit.
243,scam,Great price for downtown Toronto condo. Send payment to hold.
244,scam,No credit check. Just send deposit and move in.
245,scam,Great price for downtown Toronto condo. Send payment to hold.
246,scam,No viewing needed. First month and deposit required now.
247,scam,No viewing needed. First month and deposit required now.
248,scam,No viewing needed. First month and deposit required now.
249,scam,I am currently out of the country. You can reserve the unit by e-transfer.
250,scam,I am currently out of the country. You can reserve the unit by e-transfer.
251,scam,Many people interested. First person to send deposit gets it.
252,scam,No viewing needed. First month and deposit required now.
253,scam,No credit check. Just send deposit and move in.
254,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
255,scam,No credit check. Just send deposit and move in.
256,scam,Great price for downtown Toronto condo. Send payment to hold.
257,scam,Unit is available immediately. Deposit required before viewing.
258,scam,No credit check. Just send deposit and move in.
259,scam,Great price for downtown Toronto condo. Send payment to hold.
260,scam,No credit check. Just send deposit and move in.
261,scam,Unit is available immediately. Deposit required before viewing.
262,scam,Please reply with your email so I can send payment instructions.
263,scam,I am currently out of the country. You can reserve the unit by e-transfer.
264,scam,No credit check. Just send deposit and move in.
265,scam,Please reply with your email so I can send payment instructions.
266,scam,Owner is traveling. Keys will be mailed after deposit.
267,scam,I am currently out of the country. You can reserve the unit by e-transfer.
268,scam,Many people interested. First person to send deposit gets it.
269,scam,Great price for downtown Toronto condo. Send payment to hold.
270,scam,Please reply with your email so I can send payment instructions.
271,scam,Many people interested. First person to send deposit gets it.
272,scam,Great price for downtown Toronto condo. Send payment to hold.
273,scam,Many people interested. First person to send deposit gets it.
274,scam,Many people interested. First person to send deposit gets it.
275,scam,Unit is available immediately. Deposit required before viewing.
276,scam,No credit check. Just send deposit and move in.
277,scam,Kindly provide your full name and send payment today.
278,scam,Unit is available immediately. Deposit required before viewing.
279,scam,I am currently out of the country. You can reserve the unit by e-transfer.
280,scam,Please reply with your email so I can send payment instructions.
281,scam,Many people interested. First person to send deposit gets it.
282,scam,Many people interested. First person to send deposit gets it.
283,scam,Unit is available immediately. Deposit required before viewing.
284,scam,Please reply with your email so I can send payment instructions.
285,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
286,scam,Kindly provide your full name and send payment today.
287,scam,Great price for downtown Toronto condo. Send payment to hold.
288,scam,Please reply with your email so I can send payment instructions.
289,scam,Great price for downtown Toronto condo. Send payment to hold.
290,scam,Great price for downtown Toronto condo. Send payment to hold.
291,scam,Many people interested. First person to send deposit gets it.
292,scam,Please reply with your email so I can send payment instructions.
293,scam,No viewing needed. First month and deposit required now.
294,scam,No credit check. Just send deposit and move in.
295,scam,No viewing needed. First month and deposit required now.
296,scam,Many people interested. First person to send deposit gets it.
297,scam,No credit check. Just send deposit and move in.
298,scam,Please reply with your email so I can send payment instructions.
299,scam,Owner is traveling. Keys will be mailed after deposit.
300,scam,Unit is available immediately. Deposit required before viewing.
301,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
302,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
303,scam,Kindly provide your full name and send payment today.
304,scam,Kindly provide your full name and send payment today.
305,scam,I am currently out of the country. You can reserve the unit by e-transfer.
306,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
307,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
308,scam,Great price for downtown Toronto condo. Send payment to hold.
309,scam,Unit is available immediately. Deposit required before viewing.
310,scam,Great price for downtown Toronto condo. Send payment to hold.
311,scam,I am currently out of the country. You can reserve the unit by e-transfer.
312,scam,No credit check. Just send deposit and move in.
313,scam,No viewing needed. First month and deposit required now.
314,scam,Great price for downtown Toronto condo. Send payment to hold.
315,scam,I am currently out of the country. You can reserve the unit by e-transfer.
316,scam,No credit check. Just send deposit and move in.
317,scam,No viewing needed. First month and deposit required now.
318,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
319,scam,Please reply with your email so I can send payment instructions.
320,scam,Many people interested. First person to send deposit gets it.
321,scam,Great price for downtown Toronto condo. Send payment to hold.
322,scam,Many people interested. First person to send deposit gets it.
323,scam,Please reply with your email so I can send payment instructions.
324,scam,Great price for downtown Toronto condo. Send payment to hold.
325,scam,Great price for downtown Toronto condo. Send payment to hold.
326,scam,No credit check. Just send deposit and move in.
327,scam,Unit is available immediately. Deposit required before viewing.
328,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
329,scam,I am currently out of the country. You can reserve the unit by e-transfer.
330,scam,No credit check. Just send deposit and move in.
331,scam,I am currently out of the country. You can reserve the unit by e-transfer.
332,scam,Owner is traveling. Keys will be mailed after deposit.
333,scam,Owner is traveling. Keys will be mailed after deposit.
334,scam,I am currently out of the country. You can reserve the unit by e-transfer.
335,scam,Kindly provide your full name and send payment today.
336,scam,Please reply with your email so I can send payment instructions.
337,scam,Kindly provide your full name and send payment today.
338,scam,No viewing needed. First month and deposit required now.
339,scam,Owner is traveling. Keys will be mailed after deposit.
340,scam,No viewing needed. First month and deposit required now.
341,scam,Great price for downtown Toronto condo. Send payment to hold.
342,scam,Many people interested. First person to send deposit gets it.
343,scam,Kindly provide your full name and send payment today.
344,scam,Owner is traveling. Keys will be mailed after deposit.
345,scam,Great price for downtown Toronto condo. Send payment to hold.
346,scam,Kindly provide your full name and send payment today.
347,scam,Many people interested. First person to send deposit gets it.
348,scam,Unit is available immediately. Deposit required before viewing.
349,scam,Many people interested. First person to send deposit gets it.
350,scam,Unit is available immediately. Deposit required before viewing.
351,scam,Great price for downtown Toronto condo. Send payment to hold.
352,scam,No viewing needed. First month and deposit required now.
353,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
354,scam,No credit check. Just send deposit and move in.
355,scam,Please reply with your email so I can send payment instructions.
356,scam,Many people interested. First person to send deposit gets it.
357,scam,I am currently out of the country. You can reserve the unit by e-transfer.
358,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
359,scam,Please reply with your email so I can send payment instructions.
360,scam,Many people interested. First person to send deposit gets it.
361,scam,Great price for downtown Toronto condo. Send payment to hold.
362,scam,I am currently out of the country. You can reserve the unit by e-transfer.
363,scam,No viewing needed. First month and deposit required now.
364,scam,No credit check. Just send deposit and move in.
365,scam,Kindly provide your full name and send payment today.
366,scam,Great price for downtown Toronto condo. Send payment to hold.
367,scam,I am currently out of the country. You can reserve the unit by e-transfer.
368,scam,Great price for downtown Toronto condo. Send payment to hold.
369,scam,I am currently out of the country. You can reserve the unit by e-transfer.
370,scam,Kindly provide your full name and send payment today.
371,scam,I am currently out of the country. You can reserve the unit by e-transfer.
372,scam,Please reply with your email so I can send payment instructions.
373,scam,I am currently out of the country. You can reserve the unit by e-transfer.
374,scam,Owner is traveling. Keys will be mailed after deposit.
375,scam,Please reply with your email so I can send payment instructions.
376,scam,Unit is available immediately. Deposit required before viewing.
377,scam,No viewing needed. First month and deposit required now.
378,scam,Owner is traveling. Keys will be mailed after deposit.
379,scam,Many people interested. First person to send deposit gets it.
380,scam,Many people interested. First person to send deposit gets it.
381,scam,Unit is available immediately. Deposit required before viewing.
382,scam,No credit check. Just send deposit and move in.
383,scam,Owner is traveling. Keys will be mailed after deposit.
384,scam,Owner is traveling. Keys will be mailed after deposit.
385,scam,Many people interested. First person to send deposit gets it.
386,scam,Owner is traveling. Keys will be mailed after deposit.
387,scam,Owner is traveling. Keys will be mailed after deposit.
388,scam,No viewing needed. First month and deposit required now.
389,scam,Please reply with your email so I can send payment instructions.
390,scam,Owner is traveling. Keys will be mailed after deposit.
391,scam,Unit is available immediately. Deposit required before viewing.
392,scam,Please reply with your email so I can send payment instructions.
393,scam,No viewing needed. First month and deposit required now.
394,scam,Owner is traveling. Keys will be mailed after deposit.
395,scam,Great price for downtown Toronto condo. Send payment to hold.
396,scam,Great price for downtown Toronto condo. Send payment to hold.
397,scam,Many people interested. First person to send deposit gets it.
398,scam,Unit is available immediately. Deposit required before viewing.
399,scam,Kindly provide your full name and send payment today.
400,scam,Great price for downtown Toronto condo. Send payment to hold.
401,scam,Please reply with your email so I can send payment instructions.
402,scam,No credit check. Just send deposit and move in.
403,scam,Unit is available immediately. Deposit required before viewing.
404,scam,Great price for downtown Toronto condo. Send payment to hold.
405,scam,Kindly provide your full name and send payment today.
406,scam,Many people interested. First person to send deposit gets it.
407,scam,Kindly provide your full name and send payment today.
408,scam,I am currently out of the country. You can reserve the unit by e-transfer.
409,scam,Owner is traveling. Keys will be mailed after deposit.
410,scam,Many people interested. First person to send deposit gets it.
411,scam,Please reply with your email so I can send payment instructions.
412,scam,Kindly provide your full name and send payment today.
413,scam,Many people interested. First person to send deposit gets it.
414,scam,I am currently out of the country. You can reserve the unit by e-transfer.
415,scam,Unit is available immediately. Deposit required before viewing.
416,scam,Unit is available immediately. Deposit required before viewing.
417,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
418,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
419,scam,Great price for downtown Toronto condo. Send payment to hold.
420,scam,I am currently out of the country. You can reserve the unit by e-transfer.
421,scam,Owner is traveling. Keys will be mailed after deposit.
422,scam,Unit is available immediately. Deposit required before viewing.
423,scam,Kindly provide your full name and send payment today.
424,scam,Kindly provide your full name and send payment today.
425,scam,Many people interested. First person to send deposit gets it.
426,scam,No credit check. Just send deposit and move in.
427,scam,Kindly provide your full name and send payment today.
428,scam,Unit is available immediately. Deposit required before viewing.
429,scam,No credit check. Just send deposit and move in.
430,scam,No credit check. Just send deposit and move in.
431,scam,Please reply with your email so I can send payment instructions.
432,scam,Owner is traveling. Keys will be mailed after deposit.
433,scam,Owner is traveling. Keys will be mailed after deposit.
434,scam,Owner is traveling. Keys will be mailed after deposit.
435,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
436,scam,Owner is traveling. Keys will be mailed after deposit.
437,scam,No viewing needed. First month and deposit required now.
438,scam,Unit is available immediately. Deposit required before viewing.
439,scam,I am currently out of the country. You can reserve the unit by e-transfer.
440,scam,Great price for downtown Toronto condo. Send payment to hold.
441,scam,Kindly provide your full name and send payment today.
442,scam,Kindly provide your full name and send payment today.
443,scam,Please reply with your email so I can send payment instructions.
444,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
445,scam,Great price for downtown Toronto condo. Send payment to hold.
446,scam,Owner is traveling. Keys will be mailed after deposit.
447,scam,Owner is traveling. Keys will be mailed after deposit.
448,scam,Many people interested. First person to send deposit gets it.
449,scam,No credit check. Just send deposit and move in.
450,scam,No viewing needed. First month and deposit required now.
451,scam,Kindly provide your full name and send payment today.
452,scam,Owner is traveling. Keys will be mailed after deposit.
453,scam,No viewing needed. First month and deposit required now.
454,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
455,scam,Unit is available immediately. Deposit required before viewing.
456,scam,No credit check. Just send deposit and move in.
457,scam,Many people interested. First person to send deposit gets it.
458,scam,No viewing needed. First month and deposit required now.
459,scam,Great price for downtown Toronto condo. Send payment to hold.
460,scam,Kindly provide your full name and send payment today.
461,scam,Great price for downtown Toronto condo. Send payment to hold.
462,scam,No viewing needed. First month and deposit required now.
463,scam,No viewing needed. First month and deposit required now.
464,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
465,scam,Great price for downtown Toronto condo. Send payment to hold.
466,scam,Great price for downtown Toronto condo. Send payment to hold.
467,scam,Owner is traveling. Keys will be mailed after deposit.
468,scam,No credit check. Just send deposit and move in.
469,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
470,scam,Please reply with your email so I can send payment instructions.
471,scam,No credit check. Just send deposit and move in.
472,scam,Many people interested. First person to send deposit gets it.
473,scam,Owner is traveling. Keys will be mailed after deposit.
474,scam,Please reply with your email so I can send payment instructions.
475,scam,No viewing needed. First month and deposit required now.
476,scam,Great price for downtown Toronto condo. Send payment to hold.
477,scam,No viewing needed. First month and deposit required now.
478,scam,Many people interested. First person to send deposit gets it.
479,scam,Unit is available immediately. Deposit required before viewing.
480,scam,Owner is traveling. Keys will be mailed after deposit.
481,scam,Owner is traveling. Keys will be mailed after deposit.
482,scam,No viewing needed. First month and deposit required now.
483,scam,Please reply with your email so I can send payment instructions.
484,scam,I am currently out of the country. You can reserve the unit by e-transfer.
485,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
486,scam,Owner is traveling. Keys will be mailed after deposit.
487,scam,No viewing needed. First month and deposit required now.
488,scam,No credit check. Just send deposit and move in.
489,scam,Owner is traveling. Keys will be mailed after deposit.
490,scam,No credit check. Just send deposit and move in.
491,scam,Many people interested. First person to send deposit gets it.
492,scam,Many people interested. First person to send deposit gets it.
493,scam,Great price for downtown Toronto condo. Send payment to hold.
494,scam,I am currently out of the country. You can reserve the unit by e-transfer.
495,scam,Unit is available immediately. Deposit required before viewing.
496,scam,No viewing needed. First month and deposit required now.
497,scam,Kindly provide your full name and send payment today.
498,scam,I am currently out of the country. You can reserve the unit by e-transfer.
499,scam,No credit check. Just send deposit and move in.
500,scam,I am currently out of the country. You can reserve the unit by e-transfer.
501,scam,Unit is available immediately. Deposit required before viewing.
502,scam,I am currently out of the country. You can reserve the unit by e-transfer.
503,scam,Please reply with your email so I can send payment instructions.
504,scam,Great price for downtown Toronto condo. Send payment to hold.
505,scam,Please reply with your email so I can send payment instructions.
506,scam,Owner is traveling. Keys will be mailed after deposit.
507,scam,I am currently out of the country. You can reserve the unit by e-transfer.
508,scam,No viewing needed. First month and deposit required now.
509,scam,Great price for downtown Toronto condo. Send payment to hold.
510,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
511,scam,Owner is traveling. Keys will be mailed after deposit.
512,scam,Please reply with your email so I can send payment instructions.
513,scam,Kindly provide your full name and send payment today.
514,scam,No viewing needed. First month and deposit required now.
515,scam,Many people interested. First person to send deposit gets it.
516,scam,Great price for downtown Toronto condo. Send payment to hold.
517,scam,Unit is available immediately. Deposit required before viewing.
518,scam,I am currently out of the country. You can reserve the unit by e-transfer.
519,scam,Many people interested. First person to send deposit gets it.
520,scam,Many people interested. First person to send deposit gets it.
521,scam,No viewing needed. First month and deposit required now.
522,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
523,scam,Please reply with your email so I can send payment instructions.
524,scam,No credit check. Just send deposit and move in.
525,scam,No viewing needed. First month and deposit required now.
526,scam,I am currently out of the country. You can reserve the unit by e-transfer.
527,scam,I am currently out of the country. You can reserve the unit by e-transfer.
528,scam,I am currently out of the country. You can reserve the unit by e-transfer.
529,scam,Many people interested. First person to send deposit gets it.
530,scam,Owner is traveling. Keys will be mailed after deposit.
531,scam,Owner is traveling. Keys will be mailed after deposit.
532,scam,I am currently out of the country. You can reserve the unit by e-transfer.
533,scam,I am currently out of the country. You can reserve the unit by e-transfer.
534,scam,No viewing needed. First month and deposit required now.
535,scam,Kindly provide your full name and send payment today.
536,scam,Please reply with your email so I can send payment instructions.
537,scam,I am currently out of the country. You can reserve the unit by e-transfer.
538,scam,I am currently out of the country. You can reserve the unit by e-transfer.
539,scam,Owner is traveling. Keys will be mailed after deposit.
540,scam,Unit is available immediately. Deposit required before viewing.
541,scam,Owner is traveling. Keys will be mailed after deposit.
